comments,labels
خیلی خوب بود دکور کاش بهتر بود کمی درگیری زامبی بیشتر,0
نمیفهمم اینقدر تعریف میکنن اکت داشت بازی سناریو دکور معما متاسفم....,0
فضا دکور عالی اکتورها معماها کل سناریو اتاق فرار بدی بود برخورد پرسنل هم بد بود تذکرهای مسخره مزاحم فرایند بازی میشدن حیف وقت پولی بدید اتاق فرار.,1
اتاق فرار جالبی بود بسیار ترسناک ،ولی پرسنل بسیار غیر مسئول بچه ای داشت ،انگار تا جوون هم کارگروهی کردن ،فضا بسیار ناامن بود ، اول احساس امنی میکردی بعدترس ،یکی دخترای مجروح شد ،در حال دویدن کوتاه باید رد میشدیم ندیدیم ، لحاظ فنی ایمنی بسیار ناامن غیر ایمن بود علاوه براینکه. یکی همراهامون بسیار ترسیده بود نگفتن بره بیرون یا قصهرو ترک کنه میدونم نظرم منعکس نمیشه بدترین تجربه اتاق فرار بودبدترین,0
امیدوارم عوامل سایت کامنتو پاک,1
فوق العاده قشنگ امتحان کنین دکور فضا سازی حرف نداشت اکتور خیلی سریع بود,0
فوق العاده بد بود چیش فصا کثیف دکور ضعیف سناریو چیزی ک گفتن زمین تا اسمون فرق داشت کل پولمونو ریختیم جوب بد بود دکور نسبت سناریو بازی متروکه بوده نظر* کثیف میاد -سناریو کاملا بازی مربوطه *,1
اختلاف مزخرفترین اتاق فراری بود تاحالا رفتم اکت درست حسابی داشت دکور خوب بک های جالب کلا خوب نبود پیشنهاد نمیشه توجه راه دورش کلا نمی ارزه,1
موری آخرشه 🥰,0
عالییییییی,0
افتضاح بود خیللالی افتضاح پولمون دور ریختیم. هرکی,1
یکی بدترین اتاق فرار هایی بود رفتم حیفه پول ریختم حلقوم اینا ریدم اتاق فرار تون گوه توش,1
تبریک میگم نسبت اوایل خیلی بهتر شده دومین بارم بود رفتم سری همون فیلمشو دیده بودیم پروفسور اسم کارکتر باهامون ارتباط داشت تعداد تیر هم بیشتر بهمون دادن 😂❤️,0
سلام ممنون گیم مستر فوق العاده اخلاق اکتورای خفن بازی اقامتگاه ابدی تجربه ۱۱ تا اتاق فرار بازی رفتیم بهمون خوش گذشت ترس بازی زیاد بود روی دکور معماها کار شده بود بازی خلاقیتای قشنگی داشت ک بازیهای قبلی ندیده بودیم .دیوانه باهوش منفی الانم اقامتگاه ابدی جز بازیهایی هستن ک دوسشون داشتم,0
عجیبه کامنت پاک میکنید اومدم بازیتون همون شب براتون کامت گذاشتم فرداش دیدم کامنتم پاک شده فکر نکنم درست باشه چون سایت مال خودتون کامنت منفی پاک کنید هر حال بازیتون پر باگ بود جای اینکه وقت بزارید کامنت پاک کنید یکم بازیتون مانور بدید رفع باگ کنید بهتره,1
